Date,Open,High,Low,Close ,Adj Close ,Volume
29-Apr-25,543.79,550.87,541.3,549.23,549.23,"1,080,342"
28-Apr-25,544.86,554.5,542.47,546.4,546.4,"1,458,100"
25-Apr-25,544.6,549.09,541.22,544.86,544.86,"1,612,700"
20-Apr-25,505.4,551.79,494.68,544.86,544.86,"12,257,800"
13-Apr-25,510,518.65,492.69,509.49,509.49,"12,247,400"
6-Apr-25,446.9,522,439.38,494.44,494.44,"26,763,500"
30-Mar-25,533.82,567.32,460,470.81,470.81,"20,184,500"
23-Mar-25,575,592.64,537.71,543.12,543.12,"10,571,400"
16-Mar-25,541.23,568.44,540,565.14,565.14,"14,203,300"
9-Mar-25,542.3,546.47,520.06,541.41,541.41,"17,877,900"
2-Mar-25,622.4,628.78,544.91,559.67,559.67,"18,215,800"
23-Feb-25,633.51,637.3,604.01,622.29,619.22,"13,894,700"
16-Feb-25,662.59,672.19,623.43,625.6,622.51,"11,233,500"
9-Feb-25,659.02,663.26,639.11,660.55,657.29,"11,636,600"
2-Feb-25,626,663.87,622.48,655.9,652.66,"10,810,100"
26-Jan-25,625,650,624.46,640.4,637.24,"11,417,600"
19-Jan-25,616.81,645.54,609,636.9,633.76,"13,678,600"
12-Jan-25,557.88,627,556.76,625.94,622.85,"15,862,600"
5-Jan-25,584.98,593.65,558.01,560,557.24,"8,610,200"
29-Dec-24,567.27,584.31,565.1,580.13,577.27,"5,963,300"
22-Dec-24,565,582.79,561.8,576.18,573.34,"5,010,900"
15-Dec-24,588,588.27,544.49,566.1,563.31,"14,568,200"
8-Dec-24,598.99,603,583.76,585.48,582.59,"8,862,700"
1-Dec-24,608,611.91,594.37,599.68,593.78,"8,218,000"
24-Nov-24,608.79,612.73,593,608.57,602.58,"8,382,000"
17-Nov-24,594.71,603.94,575.51,602.78,596.85,"9,619,200"
10-Nov-24,598.9,607.15,586.24,593.54,587.7,"10,345,000"
3-Nov-24,518,598.61,510.51,589.26,583.46,"19,200,100"
27-Oct-24,515.4,530.79,514.53,519.35,514.24,"8,097,000"
20-Oct-24,528,529.85,510.74,512.6,507.56,"8,294,700"
13-Oct-24,517.65,540.51,515.51,528.5,523.3,"13,252,000"
6-Oct-24,494.63,517.97,490.79,516.3,511.22,"7,884,600"
29-Sep-24,494.89,496.52,484.2,495.16,490.29,"7,588,400"
22-Sep-24,498.21,505.4,490.4,498.51,493.6,"6,550,700"
15-Sep-24,481.43,506.41,479.49,498.43,493.53,"12,158,000"
8-Sep-24,485.53,494.28,457.48,478.99,474.28,"11,000,500"
1-Sep-24,507.47,509.7,477.06,479.61,474.89,"7,706,900"
25-Aug-24,512.34,513.5,498.47,510.25,502.26,"7,035,400"
18-Aug-24,505,512.44,494.03,509.42,501.44,"6,763,300"
11-Aug-24,490.26,506.91,483.75,504.26,496.36,"7,947,900"
4-Aug-24,447.59,492,437.37,490.26,482.58,"12,533,200"
28-Jul-24,500.42,517.26,467.21,470.64,463.27,"17,023,200"
21-Jul-24,484.56,504,482.38,499.03,491.21,"9,151,000"
14-Jul-24,480.25,509.48,476.31,484.93,477.33,"16,811,700"
7-Jul-24,467.65,483.44,461.58,479.88,472.36,"13,664,600"
30-Jun-24,454.51,469.89,454.01,464.75,457.47,"5,930,000"
23-Jun-24,451.25,464.08,442.8,452.32,445.24,"12,322,200"
16-Jun-24,445.1,460.41,443.39,450.18,443.13,"9,329,800"
9-Jun-24,452.33,457.64,439.15,446.46,439.47,"8,778,000"
2-Jun-24,458.87,464.52,449.21,454.91,447.78,"8,778,700"
26-May-24,459.94,463.69,447.6,456.52,446.67,"9,019,800"
19-May-24,468.2,471.48,457.41,461.18,451.23,"12,270,300"
12-May-24,456.27,468.66,453.32,467.72,457.62,"9,936,400"
5-May-24,441.75,458.75,439.68,454.73,444.92,"10,513,300"
