Date,Open,High,Low,Close,Daily_Return,Variance_Daily_Return,Daily_Volatility
"April 28, 2025","5,529.22","5,553.66","5,468.64","5,528.75",0.00,0.000147918,0.012162169
"April 25, 2025","5,232.94","5,528.11","5,101.63","5,525.21",-0.000640289,0.000147991,0.012165163
"April 17, 2025","5,441.96","5,459.46","5,220.79","5,282.70",-0.043891544,0.000148064,0.01216816
"April 11, 2025","4,953.79","5,481.34","4,835.04","5,363.36",0.015268707,0.000147202,0.01213269
"April 4, 2025","5,527.91","5,695.31","5,069.90","5,074.08",-0.053936338,0.000147154,0.012130722
"March 28, 2025","5,718.08","5,786.95","5,572.42","5,580.94",0.099892,0.000145809,0.012075122
"March 21, 2025","5,635.60","5,715.33","5,597.76","5,667.56",0.015520683,0.000140916,0.011870793
"March 14, 2025","5,705.37","5,705.37","5,504.65","5,638.94",-0.005049792,0.00014086,0.011868462
"March 7, 2025","5,968.33","5,986.09","5,666.29","5,770.20",0.023277424,0.000140919,0.011870943
"February 28, 2025","6,026.69","6,043.65","5,837.66","5,954.50",0.031939967,0.000140712,0.011862204
"February 21, 2025","6,121.60","6,147.43","6,008.56","6,013.13",0.009846335,0.000140264,0.011843298
"February 14, 2025","6,046.40","6,127.47","6,003.00","6,114.63",0.016879728,0.000140281,0.011844031
"February 7, 2025","5,969.65","6,101.28","5,923.93","6,025.99",-0.01449638,0.000140202,0.011840704
"January 31, 2025","5,969.04","6,120.91","5,962.92","6,040.53",0.002412882,0.000140174,0.011839491
"January 24, 2025","6,014.12","6,128.18","6,006.88","6,101.24",0.010050443,0.000140239,0.01184226
"January 17, 2025","5,782.02","6,014.96","5,773.31","5,996.66",-0.017140778,0.000140254,0.0118429
"January 10, 2025","5,982.81","6,021.04","5,807.78","5,827.04",-0.028285746,0.000140185,0.011839979
"January 3, 2025","5,920.67","5,949.34","5,829.53","5,942.47",0.019809371,0.000139869,0.011826609
"December 31, 2024","5,919.74","5,929.74","5,868.86","5,881.63",-0.010238167,0.000139735,0.011820959
